nft_url;; supply;; blockchain;; type;; price;; method;; duration;; specific_buyer;; quantity
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/43;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/44;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/90;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/93;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/115;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/150;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/166;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/211;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/222;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/277;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
https://opensea.io/assets/matic/0x4f6a59a078a024f02b4259dba4c4b552722093b5/282;; 1;; Polygon;; ;; 0.002;; ;; ['08-03-2022 1:00', '31-08-2022 1:00'];; ;; 1
